time,DOBC[C],Getter[C],CuClamp2[C],EMCCDBack[C],Coldhead[C],Reject[C]
09/03/24 15:30:06,21.691963,23.176919,22.406187,20.321830,22.05   ,017.6   
09/03/24 15:31:07,21.671064,23.262842,22.566680,19.836736,11.25   ,019.4   
09/03/24 15:32:07,21.738666,23.288646,22.562553,19.890665,3.35    ,020.9   
09/03/24 15:33:07,21.816591,23.095640,22.549909,19.773777,-2.55   ,021.1   
09/03/24 15:34:06,21.894515,22.789360,22.359226,19.758296,-7.55   ,021.7   
09/03/24 15:35:07,22.069717,22.298589,22.136032,19.762941,-11.95  ,021.4   
09/03/24 15:36:07,22.135257,21.700479,21.778404,19.712625,-15.65  ,021.7   
09/03/24 15:36:20,22.173444,21.587978,21.672353,19.696886,-16.45  ,021.7   
09/03/24 15:37:06,22.286720,21.088691,21.326078,19.676500,-18.95  ,021.9   
09/03/24 15:38:07,22.398447,20.279514,20.778541,19.635732,-21.95  ,022.3   
09/03/24 15:39:07,22.557909,19.541809,20.207782,19.615089,-24.45  ,022.6   
09/03/24 15:40:06,22.699308,18.638450,19.641666,19.508266,-26.85  ,022.9   
09/03/24 15:41:07,22.826517,17.875459,18.882804,19.485816,-28.95  ,023.2   
09/03/24 15:42:07,22.954498,16.932880,18.205221,19.355512,-30.85  ,023.6   
09/03/24 15:43:07,23.110090,16.122928,17.329212,19.299777,-32.55  ,023.8   
09/03/24 15:44:06,23.261810,15.272208,16.595895,19.184955,-34.15  ,023.9   
09/03/24 15:45:07,23.318834,14.326790,15.752916,19.032978,-35.65  ,023.8   
09/03/24 15:46:07,23.516742,13.489230,14.960767,18.927701,-37.05  ,023.5   
09/03/24 15:47:07,23.694009,12.517751,14.061795,18.768497,-38.35  ,023.0   
09/03/24 15:48:06,23.807800,11.691543,13.240489,18.654190,-39.65  ,022.5   
09/03/24 15:49:07,23.921333,10.697100,12.433633,18.422739,-40.95  ,022.1   
09/03/24 15:50:07,24.054475,9.871150,11.503439,18.273857,-42.15  ,021.9   
09/03/24 15:51:06,24.227870,8.878771,10.705357,18.038791,-43.25  ,022.0   
09/03/24 15:52:07,24.334953,8.033469,9.720203,17.890941,-44.35  ,022.2   
09/03/24 15:53:07,24.499059,7.186360,8.950244,17.652523,-45.35  ,022.4   
09/03/24 15:54:07,24.631685,6.246877,7.999666,17.405073,-46.35  ,022.7   
09/03/24 15:55:06,24.693613,5.361322,7.145591,17.211036,-47.35  ,023.0   
09/03/24 15:56:07,24.868814,4.432418,6.219784,16.922302,-48.35  ,023.3   
09/03/24 15:57:07,24.945190,3.607500,5.336551,16.637954,-49.25  ,023.6   
09/03/24 15:58:07,25.103363,2.629313,4.596267,16.421209,-50.15  ,023.9   
09/03/24 15:59:06,25.213798,1.797171,3.619370,16.109510,-51.05  ,024.2   
09/03/24 16:00:07,25.304109,0.886845,2.826447,15.826712,-51.95  ,024.2   
09/03/24 16:01:07,25.421253,-0.008606,1.790462,15.517335,-52.85  ,024.0   
09/03/24 16:02:06,25.539947,-0.775406,1.008893,15.240213,-53.75  ,023.6   
09/03/24 16:03:07,25.620967,-1.736084,0.138561,14.880263,-54.65  ,023.0   
09/03/24 16:04:07,25.741209,-2.501923,-0.725922,14.601333,-55.55  ,022.5   
09/03/24 16:05:07,25.933956,-3.450928,-1.479340,14.258413,-56.45  ,022.3   
09/03/24 16:06:06,25.987369,-4.258759,-2.436539,13.920395,-57.35  ,022.2   
09/03/24 16:07:07,26.186824,-5.129852,-3.243744,13.611793,-58.25  ,022.4   
09/03/24 16:08:07,26.230947,-5.971207,-4.180878,13.219331,-59.05  ,022.7   
09/03/24 16:08:57,26.349382,-6.708939,-4.908325,12.899117,-59.75  ,022.9   
09/03/24 16:09:06,26.328998,-6.764206,-5.015076,12.854737,-59.85  ,022.9   
09/03/24 16:10:07,26.461368,-7.677490,-5.882233,12.462017,-60.75  ,023.2   
09/03/24 16:11:07,26.552709,-8.502655,-6.684692,12.114710,-61.55  ,023.5   
09/03/24 16:12:07,26.703657,-9.364090,-7.454285,11.740568,-62.25  ,023.8   
09/03/24 16:13:06,26.712688,-10.200684,-8.410508,11.338560,-63.05  ,024.2   
09/03/24 16:14:07,26.856409,-11.070038,-9.178406,11.000284,-63.85  ,024.5   
09/03/24 16:15:07,26.934076,-11.846131,-10.154786,10.571439,-64.55  ,024.4   
09/03/24 16:16:06,26.971490,-12.592103,-10.886963,10.175882,-65.35  ,024.2   
09/03/24 16:17:01,27.032384,-13.412751,-11.659821,9.843025,-66.05  ,023.8   
09/03/24 16:17:07,27.026193,-13.509263,-11.767548,9.847669,-66.15  ,023.7   
09/03/24 16:18:07,27.130695,-14.280869,-12.546570,9.410826,-66.95  ,023.2   
09/03/24 16:19:07,27.208103,-15.169617,-13.286225,8.994368,-67.75  ,022.7   
09/03/24 16:20:06,27.305122,-15.927353,-14.212433,8.554944,-68.55  ,022.4   
09/03/24 16:21:07,27.431556,-16.798294,-14.947541,8.173062,-69.35  ,022.4   
09/03/24 16:22:07,27.448844,-17.558837,-15.846985,7.788341,-70.15  ,022.6   
09/03/24 16:23:06,27.586372,-18.326141,-16.570297,7.352272,-70.85  ,022.8   
09/03/24 16:24:07,27.617336,-19.211288,-17.505920,6.941232,-71.65  ,023.2   
09/03/24 16:25:07,27.714872,-19.928131,-18.249633,6.500261,-72.35  ,023.5   
09/03/24 16:26:07,27.772411,-20.736389,-19.006362,6.132312,-73.05  ,023.8   
09/03/24 16:27:06,27.798988,-21.505584,-19.892593,5.707081,-73.75  ,024.1   
09/03/24 16:28:07,27.906587,-22.378250,-20.624038,5.274366,-74.45  ,024.4   
09/03/24 16:28:49,27.906328,-22.843521,-21.244750,4.929640,-74.95  ,024.6   
09/03/24 16:29:07,27.902458,-23.116119,-21.507293,4.805270,-75.15  ,024.6   
